# [1]TIME  [2]v_out09 
 1.584426e-09  9.366481e-01 
 1.590046e-09  1.004965e+00 
 1.595376e-09  1.062457e+00 
 1.600086e-09  1.105947e+00 
 1.604823e-09  1.140153e+00 
 1.610381e-09  1.167842e+00 
 1.615697e-09  1.183107e+00 
 1.620408e-09  1.187971e+00 
 1.625121e-09  1.188935e+00 
 1.630667e-09  1.210680e+00 
 1.635995e-09  1.247020e+00 
 1.637305e-09  1.248598e+00 
 1.638447e-09  1.240439e+00 
 1.642101e-09  1.127761e+00 
 1.646990e-09  8.286109e-01 
 1.652892e-09  3.813563e-01 
 1.657433e-09  1.660252e-01 
 1.662240e-09  9.190791e-02 
 1.666549e-09  5.324040e-02 
 1.671841e-09  2.866930e-02 
 1.676522e-09  2.276740e-02 
 1.681166e-09  2.196163e-02 
 1.685449e-09  1.958009e-02 
 1.690686e-09  1.629918e-02 
 1.696092e-09  1.309153e-02 
 1.700747e-09  1.026284e-02 
 1.705464e-09  7.587452e-03 
 1.710879e-09  7.291635e-03 
 1.716447e-09  8.226556e-03 
 1.721076e-09  -5.838678e-03 
 1.725899e-09  -3.440238e-02 
 1.731326e-09  5.335708e-02 
 1.736850e-09  3.590014e-01 
 1.741495e-09  5.879495e-01 
 1.746290e-09  6.803869e-01 
 1.751837e-09  7.368060e-01 
 1.757258e-09  8.014414e-01 
 1.761938e-09  8.720827e-01 
 1.766706e-09  9.366481e-01 
 1.772326e-09  1.004965e+00 
 1.777656e-09  1.062457e+00 
 1.782366e-09  1.105947e+00 
 1.787103e-09  1.140153e+00 
 1.792661e-09  1.167842e+00 
 1.797977e-09  1.183107e+00 
 1.802688e-09  1.187971e+00 
 1.807401e-09  1.188935e+00 
 1.812947e-09  1.210680e+00 
 1.818275e-09  1.247020e+00 
 1.819585e-09  1.248598e+00 
 1.820727e-09  1.240439e+00 
 1.824381e-09  1.127761e+00 
 1.829270e-09  8.286109e-01 
 1.835172e-09  3.813563e-01 
 1.839712e-09  1.660252e-01 
 1.844520e-09  9.190791e-02 
 1.848829e-09  5.324040e-02 
 1.854121e-09  2.866930e-02 
 1.858802e-09  2.276740e-02 
 1.863446e-09  2.196163e-02 
 1.867729e-09  1.958009e-02 
 1.872966e-09  1.629918e-02 
 1.878372e-09  1.309153e-02 
 1.883027e-09  1.026284e-02 
 1.887744e-09  7.587452e-03 
 1.893159e-09  7.291635e-03 
 1.898727e-09  8.226556e-03 
 1.903356e-09  -5.838678e-03 
 1.908179e-09  -3.440238e-02 
 1.913606e-09  5.335708e-02 
 1.919130e-09  3.590014e-01 
 1.923775e-09  5.879495e-01 
 1.928570e-09  6.803869e-01 
 1.934116e-09  7.368060e-01 
 1.939538e-09  8.014414e-01 
 1.944218e-09  8.720827e-01 
 1.948986e-09  9.366481e-01 
 1.954606e-09  1.004965e+00 
 1.959936e-09  1.062457e+00 
 1.964646e-09  1.105947e+00 
 1.969383e-09  1.140153e+00 
 1.974941e-09  1.167842e+00 
 1.980256e-09  1.183107e+00 
 1.984968e-09  1.187971e+00 
 1.989681e-09  1.188935e+00 
 1.995227e-09  1.210680e+00 
 2.000555e-09  1.247020e+00 
